ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Короткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Малое количество на складе","Задержанный заказ возможен?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Мета: _wfg_single_gift_enabled","Мета: _wfg_single_gift_allowed","Мета: _yst_prominent_words_version","Мета: _yoast_wpseo_primary_product_cat","Мета: _yoast_wpseo_content_score","Мета: _yoast_wpseo_focuskeywords","Мета: _yoast_wpseo_keywordsynonyms","Мета: _wfg_gift_product","Мета: _download_type","Мета: cbc-bgposition"
411,simple,,"Пицца ""Морепродукты""",1,0,visible,"Коктейль из морепродуктов, моцарелла, пармезан, сливочный соус, специи. Вес 850 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,0,,,165,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-98450de042c525e75f36ef0ae2c3ace079f9fabd8b5a5ba2af0baa3876632d19_f30df05c.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
412,simple,,"Пицца ""Маргарита""",1,0,visible,"Помидоры, орегано, моцарелла, базилик. Вес 550 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,1,,,95,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-39d00371ae422a19bff3f49b3cc18ade686422d085ac6f9c60ba58194d64f224_bf4b92ec.jpg,,,,,,,,,0,,1,,,,,,,,
413,simple,,"Пицца ""Барбекю""",1,0,visible,"Куриное мясо, сыр копченный, моцарелла,лук, кинза, бекон, колбаски копченные. Вес 700 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,1,,,155,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-575df026a8ef7bd1475fc1dae16472b62e15c804dbf61045c74bc6cd0713ec70_83a48bde.jpg,,,,,,,,,0,,1,,,,,,,,
414,simple,,"Пицца ""Папперони""",1,0,visible,"Моцарелла, салями, специи, томат. Вес 560 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,1,,,118,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-7289093fd33bdafa9936d0e2c1656d57a2a87f7d393de2ef298e6dc581f4fad7_9b4f5121.jpg,,,,,,,,,0,,1,,,,,,,,
415,simple,,"Пицца ""Гавайи""",1,0,visible,"Курица, моцарелла, ананасы, специи, пармезан. Вес 850г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,0,,,155,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-9ebb1df2f68acdc45e11dccf480fec7adddb51229a4ab9aa588f3ce80ce13721_7ecff397.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
416,simple,,"Пицца ""Мясная""",1,0,visible,"Мясная нарезка, пармезан, помидор, базилик, лук, специи. Вес 750 г. Диаметр до 40 см.",,,,taxable,,1,,,0,0,,,,,1,,,165,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-50ef9017079593304a8e21edd053e65711efeb4db33331145a2553369de035d0_9a335e44.jpg,,,,,,,,,0,,1,,,,,,,,
430,simple,,"Маки сет",1,0,visible,"Маки лосось, маки тунец, маки креветка, маки угорь, маки авокадо, маки огурец. Вес 600 г.","<img src=""http://ba.zp.ua/wp-content/uploads/2019/04/0-02-09-a91894ec4f7e0ba6f1d6cd6a8c11bd03680fb1a4db1767f9fabb65d43569c142_11c886f2-225x300.jpg"" alt="""" width=""225"" height=""300"" class=""alignnone size-medium wp-image-431"" />",,,taxable,,1,,,0,0,,,,,0,,,220,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-09-a91894ec4f7e0ba6f1d6cd6a8c11bd03680fb1a4db1767f9fabb65d43569c142_11c886f2.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
432,simple,,"Сет Калифорния",1,0,visible,"24 куска, 800 г",,,,taxable,,1,,,0,0,,,,,0,,,375,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-7e338895a84f24e8e5ecb0b3712d190507766f591c9f3b1c5cc3c2d496b870a1_bc9c0c6c.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
434,simple,,"Сет Романтик",1,0,visible,"Маки лосось, маки креветка, маки тунец, маки окунь, ролл инь-янь 540 г",,,,taxable,,1,,,0,0,,,,,0,,,290,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-09-40ef426fe9897a35bac4b9349b848f71d137f0331737d8a1a4c754811050f1b9_22c8686b.jpg,,,,,,,,,0,,1,,,,,,,,
440,simple,,"Сет 3 Дракона",1,0,visible,"Красный дракон, зеленый дракон, золотой дракон. Вес 527 г.",,,,taxable,,1,,,0,0,,,,,0,,,395,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-09-3eee70e13a3f80d53ed72caec625701462f72920711f959993b925603241b0ca_2379692e.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
443,simple,,"Summer сет",1,0,visible,"Овощной ролл, ролл Филадельфия -шеф, ролл хокаши, маки тунец, маки лосось, маки авокадо. Вес 985 г.",,,,taxable,,1,,,0,0,,,,,0,,,438,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-04-aad330720b335b7aadb8af682cd6837ac8a8dc28fe99be5bcdb1cd587fcaf1c4_48ee1e49.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
460,simple,,"Суши сет",1,0,visible,"суши тунец, лосось, окунь, угорь, креветка. Вес 125 г",,,,taxable,,1,,,0,0,,,,,0,,,150,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-05-93ba6e7a39e46df5ba84a7438e90ecc1d7e71b930bd6d88ed5add45e9ef278a7_686fee96.jpg,,,,,,,,,0,,1,1,19,30,[],"[""""]",,,
462,simple,,"Сет Филадельфия",1,0,visible,"Филадельфия класик, филадельфия лайт, филадельфия с икрой тобика. Вес 685 г",,,,taxable,,1,,,0,0,,,,,0,,,295,Сеты,,,"http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-a18bd6d08af63e415e467473c2654c68710b2ba873803f0bcc51dae9308291e8_80cd29aa.jpg, http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-8789ba2b5665f4d21e44557b64217681920174b5c211326adabe2af8cdc47a20_8bff21bf.jpg",,,,,,,,,0,,1,1,19,30,[],"[""""]",,,
467,simple,,"Рис с омлетом и грибами шитаке",1,0,visible,"Рис, грибы шитаке, шампиньены, кунжут, яйцо, соус унаги. Вес 250 г.",,,,taxable,,1,,,0,0,,,,,0,,,65,Разное,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-04-5d133019d429149ad44d401f63a59c29d5aa42ec33e3acba8eec79bf60b04dc2_f3173065.jpg,,,,,,,,,0,,1,1,21,30,[],"[""""]",,,
469,simple,,"Жаркое со свининой",1,0,visible,"Картофель, свинина, лук, морковь, зелень. 500 г",,,,taxable,,1,,,0,0,,,,,0,,,65,Разное,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-04-c045ee02eb2d80af18a3fbf6a4b36f476040267890b7b91f512dd515cbe0b207_a11116f6.jpg,,,,,,,,,0,,1,1,21,30,[],"[""""]",,,
472,simple,,"Плов в хлебе",1,0,visible,"Вес 600г",,,,taxable,,1,,,0,0,,,,,0,,,88,Разное,,,"http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-361faa43a91f381a3593a9104a3d08c2487df0112f9de66553261ee259a35173_7a027683.jpg, http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-4abc23729aa6618661b67a173e99a9ea978e84e90399a0d1b925078e7e7ebba6_e79710c6.jpg, http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-2c8d0783b485ed629e3405eab21a981e227495a36a4c7fedba208159674f7a56_75e0d981.jpg",,,,,,,,,0,,1,1,21,30,[],"[""""]",,,
487,simple,,Хачапури,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,39,Разное,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-4c6075f841384c3dedbade39e959cd3688e9437d94c8a69b4974238ce1049ad6_6a04c170.jpg,,,,,,,,,0,,1,1,21,30,[],"[""""]",,,
488,simple,,"Шашлык из морепродуктов",1,0,visible,"кальмары, лангустины.",,,,taxable,,1,,,0,0,,,,,0,,,72,Разное,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-9f9e647a67aeb7a0724189042c3d438721f6582f592e26bbd5aa4040a96dc528_4d9e90dd.jpg,,,,,,,,,0,,1,1,21,30,[],"[""""]",,,
490,simple,,"Овощи в кляре во фритюре",1,0,visible,"Кабачки, лук, помидор, морковь, шампиньон.",,,,taxable,,1,,,0,0,,,,,0,,,45,Разное,,,"http://ba.zp.ua/wp-content/uploads/2019/05/Овощи.jpg, http://ba.zp.ua/wp-content/uploads/2019/05/0-02-09-5aa58cc692e71690d8482796ea997b2bbc099c8b65e491147435223cf6b0c6ad_556b2cda.jpg",,,,,,,,,0,,1,1,21,30,[],"[""""]",,,
491,simple,,"Сырные палочки в кляре",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,85,Разное,,,"http://ba.zp.ua/wp-content/uploads/2019/05/0-02-01-f38e0425c19f3015b717fae14f1e9dd312e58779f5f89d80dc289e402da6b839_55c7ac7.jpg, http://ba.zp.ua/wp-content/uploads/2019/05/0-02-01-f38e0425c19f3015b717fae14f1e9dd312e58779f5f89d80dc289e402da6b839_55c7ac7.jpg",,,,,,,,,0,,1,1,21,30,[],"[""""]",,,
493,simple,,"Суши угорь",1,0,visible,"рис, угорь. Вес 25 г.",,,,taxable,,1,,,0,0,,,,,0,,,39,Суши,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-05-f01b56dae78e08908a39e0b7e15cc798cc18ecd2adb9ce0229ac480e79da3547_8435edd9.jpg,,,,,,,,,0,,1,1,17,30,[],"[""""]",,,
494,simple,,"Суши лосось",1,0,visible,"рис, лосось, 25г.",,,,taxable,,1,,,0,0,,,,,0,,,27,Суши,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-05-1056e7f2e59f6975baf3789e66c5a7426b946cb29ed3d72b21af01e8662a0f6b_922c170.jpg,,,,,,,,,0,,1,1,17,30,[],"[""""]",,,
495,simple,,"Суши тунец",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,27,Суши,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-05-80c314c0f6438dd7480e14d92999e1ce0cdda0c70341c1ebb0f081e7bd8aa61a_4af59669.jpg,,,,,,,,,0,,1,1,17,30,[],"[""""]",,,
496,simple,,"Суши с лангустинами",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,39,Суши,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-05-0f3065590aea6de1505df8012289ef9078f12943787cbec869a1f2115568d2e8_6b4e846b.jpg,,,,,,,,,0,,1,1,17,30,[],"[""""]",,,
497,simple,,"Суши окунь",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,17,Суши,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-05-5e411954c336df14c11275abc45e33d2c6796847041f03c626401318ba476540_8ae4a394.jpg,,,,,,,,,0,,1,1,17,30,[],"[""""]",,,
519,simple,,"Пицца со свежим тунцом",1,0,visible,"Филе тунца, сыр, лук маринованный, кукуруза, укроп, сливочный соус. Диаметр до 40 см, вес 820 г.",,,,taxable,,1,,,0,0,,,,,0,,147,170,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-01-f3b1d8a70f4790011f489220e304b5aa1dadbc387279c600ee471860dc659f5b_708cf8da.jpg,,,,,,,,,0,,1,1,16,30,[],"[""""]",,,
523,variation,,"Ролл Фурия",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,id:81,,,,,,0,,,,,,,,1,,
534,simple,,"Ролл Манго",1,0,visible,"Рис, нори, манго, крем сыр, лосось",,,,taxable,,1,,,0,0,,,,,0,,,110,Роллы,,,"http://ba.zp.ua/wp-content/uploads/2019/05/0-02-01-4afd69cf7d1fe3fcf5b7f238bd8edaee515c790afc845f2c647a0fea611efb61_3a1a284.jpg, http://ba.zp.ua/wp-content/uploads/2019/05/0-02-01-a844a1eb8823a594bd00e429f9481dafffa5177f1c114d4477c2f41567b7a180_e144c188.jpg",,,,,,,,,0,,,1,18,30,[],"[""""]",,,
558,simple,,"Пицца Лайт ( диаметр 30 см)",1,0,visible,"куриное мясо, грибы, моцарелла, специи. (диаметр 30 см, вес 600 г).",,,,taxable,,1,,,0,0,,,,,0,,,78,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/05/лайт.jpg,,,,,,,,,0,,,1,16,30,[],"[""""]",,,
564,simple,,"Пицца лайт Пиканто (диаметр 30 см)",1,0,visible,"Салями, ветчина, сыр, оливки (вес 600 г, диаметр 30 см)",,,,taxable,,1,,,0,0,,,,,0,,,88,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/05/caption.jpg,,,,,,,,,0,,,1,16,30,[],"[""""]",,,
565,simple,,"Пицца Гавайи Лайт (диаметр 30 см)",1,0,visible,"Моцарелла, куринное мясо, ананас (вес 600 г, диаметр 30 см)",,,,taxable,,1,,,0,0,,,,,0,,,88,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/05/гавайи-лайт.jpg,,,,,,,,,0,,,1,16,30,[],"[""""]",,,
566,simple,,"Пицца Студент (диаметр 30см)",1,0,visible,"Моцарелла, ветчина, копченная колбаса (вес 600 г, диаметр 30 см)",,,,taxable,,1,,,0,0,,,,,0,,,72,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/05/студент.jpg,,,,,,,,,0,,,1,16,30,[],"[""""]",,,
567,simple,,"Пицца 4 сыра лайт (диаметр 30 см)",1,0,visible,"Моцарелла, пармезан, дор-блю, россия",,,,taxable,,1,,,0,0,,,,,0,,,110,"Пицца на дровах",,,,,,,,,,,,0,,,1,16,30,[],"[""""]",,,
568,simple,,"Пицца Сладкоежка",1,0,visible,"сгущенное молока, ананасы, бананы, клубника, тертый шоколад, кокосовая стружка (вес 800 г, диаметр 30 см)",,,,taxable,,1,,,0,0,,,,,0,,100,110,"Пицца на дровах",,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-05-5734cb3f01b389756ba3c323536566efd59047234468be9a672e6d345a24cb78_f2b87dd.jpg,,,,,,,,,0,,,1,16,30,[],"[""""]",,,
569,simple,,"Картошка фри",1,0,visible,"картофель, кетчуп. Вес 150 г",,,,taxable,,1,,,0,0,,,,,0,,,35,Разное,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-02-062f26870511b0004f5283aeabbcd26d58d3151c67b66a0af885b5d4d6df85c7_aafd7dda.jpg,,,,,,,,,0,,,1,21,30,[],"[""""]",,,
582,simple,,"Пицца Бабуля Negra",1,0,visible,"основа - тесто, окрашенное чернилами каракатицы, говядина, лук, сыр, оливки",,,,taxable,,1,,,0,0,,,,,0,,,160,"Пицца на дровах",,,,,,,,,,,,0,,,1,16,30,[],"[""""]",,,
589,simple,,"Сет Хияши",1,0,visible,"вес 980 г",,,,taxable,,1,,,0,0,,,,,0,,245,288,Сеты,,,http://ba.zp.ua/wp-content/uploads/2019/05/0-02-05-ebd27667c7ac8fd3311588d40ba92a2aaca5fc7709db8f6f8d0912f87e7a84e9_facb4e9b.jpg,,,,,,,,,0,,,1,19,30,[],"[""""]",,,
